position,const,created,modified,description,Title,Title type,Directors,You rated,IMDb Rating,Runtime (mins),Year,Genres,Num. Votes,Release Date (month/day/year),URL
1,tt0112922,Wed Mar 22 00:00:00 2017,,,The Day of the Beast,Feature Film,Alex de la Iglesia,7,7.5,103,1995,"action, comedy, crime, horror, thriller",13429,9/15/1995,http://www.imdb.com/title/tt0112922/
2,tt0110620,Wed Mar 22 00:00:00 2017,,,Nadja,Feature Film,Michael Almereyda,8,6,93,1994,"drama, horror",2544,9/13/1994,http://www.imdb.com/title/tt0110620/
3,tt3315342,Wed Mar 22 00:00:00 2017,,,Logan,Feature Film,James Mangold,7,8.4,137,2017,"action, drama, sci_fi, thriller",234808,2/17/2017,http://www.imdb.com/title/tt3315342/
4,tt1211837,Wed Mar 22 00:00:00 2017,,,Doctor Strange,Feature Film,Scott Derrickson,6,7.6,115,2016,"action, adventure, fantasy, sci_fi",280640,10/13/2016,http://www.imdb.com/title/tt1211837/
5,tt0099685,Wed Mar 22 00:00:00 2017,,,Goodfellas,Feature Film,Martin Scorsese,8,8.7,146,1990,"crime, drama",777112,9/9/1990,http://www.imdb.com/title/tt0099685/
6,tt1343727,Wed Mar 22 00:00:00 2017,,,Dredd,Feature Film,Pete Travis,7,7.1,95,2012,"action, sci_fi",212884,7/11/2012,http://www.imdb.com/title/tt1343727/
7,tt3286052,Wed Mar 22 00:00:00 2017,,,The Blackcoat's Daughter,Feature Film,Oz Perkins,8,5.6,93,2015,"horror, thriller",3731,9/12/2015,http://www.imdb.com/title/tt3286052/
8,tt1438176,Sun Feb  5 00:00:00 2017,,,Fright Night,Feature Film,Craig Gillespie,6,6.4,106,2011,"comedy, horror",87813,8/14/2011,http://www.imdb.com/title/tt1438176/
9,tt4062536,Sun Feb  5 00:00:00 2017,,,Green Room,Feature Film,Jeremy Saulnier,6,7,95,2015,"crime, horror, thriller",61224,5/17/2015,http://www.imdb.com/title/tt4062536/
10,tt4105970,Sun Jan  1 00:00:00 2017,,,They Look Like People,Feature Film,Perry Blackshear,6,6,80,2015,"drama, horror, mystery, thriller",3615,1/25/2015,http://www.imdb.com/title/tt4105970/
11,tt3717252,Sun Jan  1 00:00:00 2017,,,Underworld: Blood Wars,Feature Film,Anna Foerster,5,5.8,91,2016,"action, adventure, fantasy",37786,11/24/2016,http://www.imdb.com/title/tt3717252/
12,tt0403702,Wed Dec 28 00:00:00 2016,,,Youth in Revolt,Feature Film,Miguel Arteta,5,6.5,90,2009,"comedy, drama, romance",66522,9/11/2009,http://www.imdb.com/title/tt0403702/
13,tt3454574,Thu Dec 22 00:00:00 2016,,,Extraordinary Tales,Feature Film,Raul Garcia,6,6.4,73,2013,"animation, mystery",1899,2/28/2013,http://www.imdb.com/title/tt3454574/
14,tt2543164,Tue Dec 13 00:00:00 2016,,,Arrival,Feature Film,Denis Villeneuve,8,8,116,2016,"drama, mystery, sci_fi, thriller",325171,9/1/2016,http://www.imdb.com/title/tt2543164/
15,tt0079641,Fri Dec  9 00:00:00 2016,,,Nosferatu the Vampyre,Feature Film,Werner Herzog,6,7.6,107,1979,horror,24811,1/17/1979,http://www.imdb.com/title/tt0079641/
